state,gender,name,link,information
"Maharashtra","Male","Jalyukta Shivar Yojana","http://mrsac.maharashtra.gov.in/jalyukt/","Jalyukta Shivar Yojana is a water conservation initiative launched by the government of Maharashtra, India, in 2015. The scheme's primary objective is to make villages water-sufficient and drought-free by implementing various water conservation and management strategies. It includes the construction of check dams, percolation tanks, farm ponds, and other water storage structures to increase groundwater recharge and prevent soil erosion. The program also focuses on desilting water bodies to improve their capacity for water storage and recharge. By doing so, the scheme aims to enhance agricultural productivity, improve farmers' livelihoods, and provide water for domestic and industrial purposes in rural areas. Overall, Jalyukta Shivar Yojana seeks to create a sustainable and efficient water management system in Maharashtra's rural regions."
"Maharashtra","Male","Pradhan Mantri Awas Yojana","https://pmay-urban.gov.in/","Pradhan Mantri Awas Yojana (PMAY) is a housing scheme launched in 2015 to provide affordable housing for urban and rural poor across India. The scheme aims to achieve 'Housing for All' by 2022 and includes two components: PMAY-Urban and PMAY-Rural. Eligibility criteria include economically weaker sections (EWS), lower-income groups (LIG), and middle-income groups (MIG), as well as scheduled castes, scheduled tribes, and other backward classes. Beneficiaries receive interest subsidies on home loans and financial assistance for constructing or renovating houses. Additionally, the scheme promotes women's homeownership by requiring the house to be registered in the name of the female head of the household or jointly with her. PMAY focuses on improving living conditions, promoting sustainable construction, and providing inclusive housing solutions."
"Maharashtra","Male","Pradhan Mantri Kisan Samman Nidhi (PM-KISAN)","https://pmkisan.gov.in/","Pradhan Mantri Kisan Samman Nidhi (PM-KISAN) is a government scheme launched in 2019 to provide financial support to small and marginal farmers across India. Under the scheme, eligible farmers receive a direct cash transfer of Rs. 6,000 per year in three equal installments of Rs. 2,000 each. The objective is to supplement the income of farmers and help them meet their agricultural and household expenses. Eligibility includes ownership of up to 2 hectares of cultivable land and adherence to other criteria such as income limits and non-exclusion clauses. PM-KISAN aims to improve farmers' quality of life and contribute to the growth and sustainability of the agricultural sector by providing timely and assured income support."
"Maharashtra","Male","Ayushman Bharat - Pradhan Mantri Jan Arogya Yojana (PM-JAY)","https://web.umang.gov.in/landing/department/pradhan-mantri-jan-arogya-yojana.html","Ayushman Bharat - Pradhan Mantri Jan Arogya Yojana (PM-JAY) is a national healthcare program launched in 2018 to provide free healthcare coverage to economically vulnerable families in India. Under the scheme, eligible families receive coverage of up to Rs. 5 lakhs per year for secondary and tertiary care hospitalization. The beneficiaries are selected based on the Socio-Economic Caste Census (SECC) data and include households with low income and marginalized groups. PM-JAY aims to reduce the financial burden of medical expenses and improve access to quality healthcare services by covering various treatments, procedures, and surgeries. The scheme partners with both public and private hospitals to offer a wide range of medical services, ensuring beneficiaries receive comprehensive and timely care."
"Maharashtra","Male","Mahatma Jyotirao Phule Shetkari Karjmukti Yojana","https://mjpsky.maharashtra.gov.in/","Mahatma Jyotirao Phule Shetkari Karjmukti Yojana is a debt relief scheme launched by the Maharashtra government to alleviate the financial burden on small and marginal farmers. Under this scheme, outstanding crop loans and term loans up to a certain limit, taken from banks or financial institutions by farmers as of September 30, 2019, are waived off. The scheme primarily targets farmers who own up to 2 hectares of land, providing them with relief from debts incurred for agricultural purposes. By reducing the debt burden, the scheme aims to improve the financial stability of farmers, support their agricultural activities, and promote sustainable farming practices in the state."
"Maharashtra","Female","Mahila Shakti Kendra Scheme","https://pib.gov.in/newsite/PrintRelease.aspx?relid=178466","Mahila Shakti Kendra (MSK) is a central government scheme launched in 2017 to empower rural women by providing them with skill development, employment opportunities, and access to government schemes. The scheme primarily targets rural women aged 18-35 and aims to enhance their socio-economic status through community engagement and training programs. MSK facilitates the creation of district-level centers to provide support and resources to women for their overall development. The scheme focuses on promoting education, health, and entrepreneurship opportunities while also raising awareness about women's rights and welfare. By connecting women with various government initiatives and schemes, Mahila Shakti Kendra seeks to uplift and empower rural women and improve their quality of life."
"Maharashtra","Female","Tejaswini Scheme","https://wcd.nic.in/schemes-list/tejaswini-scheme","Tejaswini scheme is an initiative by the government of Maharashtra aimed at empowering women in rural areas through self-help groups (SHGs) and promoting their economic independence. The scheme provides skill development training, access to credit, and market linkages to encourage women to start their own businesses or enhance existing ones. It targets women aged 18-45 who are members of SHGs, focusing on marginalized and socially disadvantaged groups. Through financial assistance and guidance, Tejaswini scheme aims to foster entrepreneurship, improve livelihoods, and boost women's participation in economic activities. Additionally, the scheme offers support for capacity building, leadership development, and financial literacy to ensure the sustainable growth and empowerment of women in rural Maharashtra."
"Maharashtra","Female","Pradhan Mantri Ujjwala Yojana (PMUY)","https://www.pmuy.gov.in/","Pradhan Mantri Ujjwala Yojana (PMUY) is a government initiative launched in 2016 to provide clean cooking fuel in the form of LPG (liquefied petroleum gas) connections to poor households across India. The scheme targets women from Below Poverty Line (BPL) families, aiming to improve their health and quality of life by reducing reliance on traditional biomass fuels that cause indoor air pollution. Eligible households receive a financial subsidy to cover the initial cost of an LPG connection, including the cylinder, regulator, and hose. PMUY not only empowers women by providing a safer and more convenient cooking option but also contributes to the overall well-being of families by reducing health risks associated with open fires and smoke."
"Maharashtra","Female","Sukanya Samriddhi Yojana","https://www.nsiindia.gov.in/(S(kruxhw45aabg0r45o5ewya2p))/InternalPage.aspx?Id_Pk=177","Sukanya Samriddhi Yojana is a government-backed savings scheme launched in 2015 as part of the Beti Bachao, Beti Padhao campaign to promote the welfare of the girl child in India. The scheme encourages parents to save for their daughter's education and future marriage expenses. Parents or legal guardians can open an account in the name of a girl child under the age of 10 and contribute between Rs. 250 and Rs. 1.5 lakh annually. The account earns an attractive interest rate, which is tax-exempt along with the deposits and maturity amount. The account matures after 21 years, providing a substantial corpus for the girl child's future needs. Sukanya Samriddhi Yojana is a secure, tax-efficient investment option that promotes the financial security and empowerment of the girl child."
"Maharashtra","Female","Mahila Arthik Vikas Mahamandal (MAVIM)","https://womenchild.maharashtra.gov.in/content/innerpage/mavim.php","Mahila Arthik Vikas Mahamandal (MAVIM) is an organization established by the government of Maharashtra to empower women by promoting their socio-economic development through self-help groups (SHGs) and various support programs. MAVIM aims to provide financial assistance, skill development training, and market linkages to women, especially those from marginalized backgrounds. The organization works towards enhancing the economic status of women by offering loans, credit facilities, and other financial services through SHGs. It also provides capacity-building programs and entrepreneurship training to help women start or expand their businesses. MAVIM strives to improve the livelihoods and social standing of women in Maharashtra, fostering their participation in economic activities and decision-making processes."

"Uttar Pradesh","Male","Uttar Pradesh Mukhya Mantri Krishak Durghatana Kalyan Yojana","https://www.myscheme.gov.in/hi/schemes/kdky","Uttar Pradesh Mukhya Mantri Krishak Durghatana Kalyan Yojana provides financial assistance to farmers in the event of an accident. In cases of accidental death or permanent disability of a farmer, the scheme offers compensation to the family. This financial support helps secure the welfare of farmers' families, providing them with stability during difficult times. By offering a safety net in the event of accidents, the scheme aims to alleviate the financial stress on farmers and their dependents."
"Uttar Pradesh","Male","Uttar Pradesh Fasal Rin Mochan Yojana (Farm Loan Waiver Scheme)","https://pmmodiyojana.in/up-kisan-karj-rahat-list/","Uttar Pradesh Fasal Rin Mochan Yojana (Farm Loan Waiver Scheme) provides debt relief to farmers by waiving outstanding crop loans. The scheme targets small and marginal farmers in the state, helping them overcome financial burdens. By relieving farmers of their loan obligations, the scheme allows them to continue their agricultural activities without debt-related stress, leading to improved economic stability and resilience."
"Uttar Pradesh","Male","Uttar Pradesh Krishi Utpadan Mandi Samiti","https://emandi.up.gov.in/","Uttar Pradesh Krishi Utpadan Mandi Samiti focuses on improving market infrastructure for farmers, including the establishment of mandis (markets) and online trading platforms. This initiative helps farmers access fair and transparent markets, allowing them to obtain better prices for their produce. By connecting farmers with more efficient and effective markets, the scheme aims to boost their income and enhance the overall agricultural economy in the state."
"Uttar Pradesh","Male","Kisan Pathshala (Farmer School)","https://www.edristi.in/hi/%E0%A4%B9%E0%A5%8B%E0%A4%AE/en/million-farmers-school-kisan-pathshala/","Kisan Pathshala (Farmer School) is a training program designed to educate farmers on modern agricultural practices and technologies. The program provides male and female farmers with knowledge about efficient farming techniques, soil health, pest management, and crop diversification. By improving farmers' skills and knowledge, Kisan Pathshala helps increase productivity and profitability, contributing to sustainable agricultural growth in Uttar Pradesh."
"Uttar Pradesh","Male","Uttar Pradesh Kisan Samman Nidhi","https://pmkisan.gov.in/","Uttar Pradesh Kisan Samman Nidhi is an implementation of the Pradhan Mantri Kisan Samman Nidhi scheme in the state. The program offers direct financial assistance of INR 6,000 per year in three equal installments to small and marginal farmers. This financial support helps farmers manage their agricultural expenses and improves their quality of life. By providing regular income support, the scheme aims to strengthen the economic stability of farmers and enhance their overall well-being."

"Uttar Pradesh","Female","Kanya Sumangala Yojana","https://mksy.up.gov.in/women_welfare/","Kanya Sumangala Yojana is a financial assistance scheme designed to improve the status of girl children in Uttar Pradesh. It provides monetary support to families at different stages of a girl's life, including birth, education, and marriage. The scheme offers conditional cash transfers at various milestones, encouraging families to invest in girls' health, education, and overall well-being. This initiative promotes the empowerment of girls and aims to improve gender equality in the state."
"Uttar Pradesh","Female","Uttar Pradesh Mahila Samarthya Yojana:","https://govtschemes.in/hi/utatara-paradaesa-mahailaa-saamarathaya-yaojanaa#gsc.tab=0","Uttar Pradesh Mahila Samarthya Yojana empowers women through the formation and support of self-help groups (SHGs) and vocational training. The scheme offers financial assistance, guidance, and training to women involved in SHGs, helping them start or expand small businesses. By fostering entrepreneurship and self-sufficiency, the scheme enhances women's economic independence and allows them to contribute to their families and communities."
"Uttar Pradesh","Female","Uttar Pradesh Chief Minister's Women's Safety and Dignity Fund","https://indianexpress.com/article/cities/lucknow/up-govt-committed-to-womens-security-dignity-adityanath-9204080/","The Uttar Pradesh Chief Minister's Women's Safety and Dignity Fund focuses on ensuring the safety and dignity of women in the state. It provides financial support for initiatives that address issues such as gender-based violence, harassment, and discrimination. The fund backs projects that promote women's empowerment, legal aid, and awareness campaigns to improve the overall safety and dignity of women across the state."
"Uttar Pradesh","Female","Rani Laxmi Bai Maternity Assistance Scheme","https://gorakhpur.nic.in/service/up-rani-lakshmi-bai-mahila-samman-kosh/","Rani Laxmi Bai Maternity Assistance Scheme offers financial assistance to pregnant women and new mothers, especially those from economically weaker sections. The scheme provides a one-time payment to help cover medical expenses and other costs related to childbirth. By supporting women during and after pregnancy, the scheme aims to improve maternal and child health outcomes, reducing the financial burden on families."
"Uttar Pradesh","Female","Uttar Pradesh Kanya Vidya Dhan Yojana","https://pmmodiyojana.in/up-kanya-vidya-dhan-yojana/","Uttar Pradesh Kanya Vidya Dhan Yojana provides financial support to girls from economically disadvantaged backgrounds for their higher education. Eligible girls receive a one-time grant to pursue their studies after passing their intermediate exams. The scheme encourages girls to continue their education and pursue academic goals, promoting gender equality and women's empowerment in the state. This initiative aims to improve the future prospects of girls and empower them through education."

"Rajasthan","Male","Rajasthan Kisan Karj Mafi Yojana (Farm Loan Waiver Scheme)","https://www.indiafilings.com/learn/rajasthan-farm-loan-waiver-scheme/#:~:text=The%20Rajasthan%20Farm%20Loan%20Waiver,also%20reduces%20the%20crop%20loans.","Rajasthan Kisan Karj Mafi Yojana (Farm Loan Waiver Scheme) provides debt relief to farmers by waiving their outstanding agricultural loans. The scheme targets small and marginal farmers to help them overcome financial burdens. By forgiving existing loans, the scheme offers farmers a fresh start and alleviates debt stress, allowing them to continue farming without the added pressure of repayment."
"Rajasthan","Male","Rajasthan Mukhyamantri Kisan Mitra Urja Yojana","https://pmmodiyojana.in/kisan-mitra-urja-yojana/#:~:text=Mukhyamantri%20Kisan%20Mitra%20Urja%20Yojana%202024%20%E0%A4%95%E0%A4%BE%20%E0%A4%AE%E0%A5%81%E0%A4%96%E0%A5%8D%E0%A4%AF%20%E0%A4%89%E0%A4%A6%E0%A5%8D%E0%A4%A6%E0%A5%87%E0%A4%B6%E0%A5%8D%E0%A4%AF%20%E0%A4%95%E0%A4%BF%E0%A4%B8%E0%A4%BE%E0%A4%A8%E0%A5%8B%E0%A4%82,%E0%A4%95%E0%A4%B0%E0%A4%A8%E0%A5%87%20%E0%A4%AE%E0%A5%87%E0%A4%82%20%E0%A4%B8%E0%A4%B9%E0%A4%BE%E0%A4%AF%E0%A4%A4%E0%A4%BE%20%E0%A4%AA%E0%A5%8D%E0%A4%B0%E0%A4%BE%E0%A4%AA%E0%A5%8D%E0%A4%A4%20%E0%A4%B9%E0%A5%8B%E0%A4%97%E0%A5%80%E0%A5%A4","Rajasthan Mukhyamantri Kisan Mitra Urja Yojana aims to provide affordable electricity to farmers for agricultural purposes. Eligible farmers receive a subsidy on their electricity bills, helping them power irrigation systems and other equipment cost-effectively. This financial relief reduces operational costs for farmers, enabling them to allocate more resources to improving their productivity and profitability."
"Rajasthan","Male","Rajasthan Kisan Bima Yojana","https://www.hdfcergo.com/rural-insurance/pradhan-mantri-fasal-bima-yojana-rajasthan","Rajasthan Kisan Bima Yojana offers insurance coverage to farmers against crop loss due to natural calamities, pests, or diseases. The scheme provides compensation for crop loss, ensuring farmers have a safety net in times of unexpected challenges. By offering financial protection, the scheme helps farmers recover and continue their agricultural practices, promoting resilience in the farming community."
"Rajasthan","Male","Rajasthan Kisan Krishi Yantra Anudan Yojana","https://rajasthangraminyojana.com/rajasthan-krishi-yantra-yojana-2023/#:~:text=%E0%A4%85%E0%A4%A8%E0%A5%81%E0%A4%A6%E0%A4%BE%E0%A4%A8%20%E0%A4%A6%E0%A5%87%E0%A4%AF%20%E0%A4%B9%E0%A5%8B%E0%A4%97%E0%A4%BE.-,Rajasthan%20Krishi%20Yantra%20Yojana%202023%20%E0%A4%95%E0%A5%87%20%E0%A4%A4%E0%A4%B9%E0%A4%A4%20%E0%A4%86%E0%A4%B5%E0%A5%87%E0%A4%A6%E0%A4%A8%20%E0%A4%95%E0%A4%B0%E0%A4%A8%E0%A5%87%20%E0%A4%B5%E0%A4%BE%E0%A4%B2%E0%A5%87,%E0%A4%95%E0%A5%87%20%E0%A4%86%E0%A4%B5%E0%A5%87%E0%A4%A6%E0%A4%A8%20%E0%A4%95%E0%A4%B0%20%E0%A4%B8%E0%A4%95%E0%A4%A4%E0%A5%87%20%E0%A4%B9%E0%A5%88.","Rajasthan Kisan Krishi Yantra Anudan Yojana provides subsidies to farmers for purchasing modern agricultural machinery and equipment. Eligible farmers can receive financial assistance to acquire tools such as tractors, harvesters, and other advanced farming implements. This scheme helps farmers improve efficiency and productivity by modernizing their agricultural practices."
"Rajasthan","Male","Rajasthan Fasal Rin Anudan Yojana","https://www.krishakjagat.org/news/rs-736-crore-interest-subsidy-approved-for-farmers-in-rajasthan-no-interest-will-have-to-be-paid-on-crop-loan/","Rajasthan Fasal Rin Anudan Yojana assists farmers with crop loans, offering financial support for loan repayment in case of crop failure. When unforeseen events such as natural disasters affect crop yields, the scheme provides grants to farmers to help them repay loans. This financial support prevents farmers from falling into debt traps and ensures the continuity of their farming activities."

"Rajasthan","Female","Rajasthan Shubh Shakti Yojana","https://www.rajteachers.in/rajasthan-shubh-shakti-yojana/","Rajasthan Shubh Shakti Yojana provides financial assistance to daughters of registered laborers for their higher education or marriage. The scheme offers monetary support to cover expenses such as tuition fees or marriage-related costs. By supporting women's education and marriage, the scheme empowers them and helps improve their socio-economic status, promoting gender equality in the state."
"Rajasthan","Female","Rajasthan Mahila Shakti Karyakram","https://pmmodiyojana.in/indira-shakti-udyam-protsahan-yojana/#:~:text=Protsahan%20Yojana%20FAQs-,Indira%20Mahila%20Shakti%20Udyam%20Protsahan%20Yojana%202024,%E0%A4%95%E0%A5%80%20%E0%A4%B8%E0%A5%81%E0%A4%B5%E0%A4%BF%E0%A4%A7%E0%A4%BE%20%E0%A4%AA%E0%A5%8D%E0%A4%B0%E0%A4%A6%E0%A4%BE%E0%A4%A8%20%E0%A4%95%E0%A5%80%20%E0%A4%9C%E0%A4%BE%E0%A4%8F%E0%A4%97%E0%A5%80%E0%A5%A4","Rajasthan Mahila Shakti Karyakram focuses on empowering women through education, training, and employment opportunities. It offers skill development courses and financial assistance for self-employment projects. By fostering entrepreneurship and professional growth, the scheme enhances women's economic independence and contributes to their overall well-being and self-reliance."
"Rajasthan","Female","Rajasthan Indira Mahila Shakti Nidhi Yojana","https://rajpsp.nic.in/PSP4/Auth3/Home/Home.aspx","Rajasthan Indira Mahila Shakti Nidhi Yojana provides financial assistance and support to self-help groups (SHGs) led by women. The scheme offers loans and subsidies for income-generating activities and entrepreneurial ventures. By encouraging women's participation in economic activities, the scheme helps them achieve financial independence and become key contributors to their families and communities."
"Rajasthan","Female","Rajasthan Balika Shiksha Protsahan Yojana","https://www.rajteachers.in/%E0%A4%AC%E0%A4%BE%E0%A4%B2%E0%A4%BF%E0%A4%95%E0%A4%BE-%E0%A4%AA%E0%A5%8D%E0%A4%B0%E0%A5%8B%E0%A4%A4%E0%A5%8D%E0%A4%B8%E0%A4%BE%E0%A4%B9%E0%A4%A8-%E0%A4%AA%E0%A5%81%E0%A4%B0%E0%A4%B8%E0%A5%8D%E0%A4%95/","Rajasthan Balika Shiksha Protsahan Yojana promotes the education of girl children by providing scholarships and financial incentives for attending school. The scheme targets girls from economically weaker backgrounds, assisting them in accessing quality education and continuing their studies. By supporting girls' education, the scheme seeks to improve literacy rates and promote gender equality throughout the state."
"Rajasthan","Female","Rajasthan Udaan Yojana","https://pmjandhanyojana.co.in/rajasthan-udan-nishulk-sanitary-napkin-hindi/","Rajasthan Udaan Yojana focuses on providing career counseling and employment opportunities for women in Rajasthan. It offers guidance and training in various trades and professions, enabling women to acquire relevant skills and secure suitable jobs. By facilitating women's entry into the workforce, the scheme promotes their economic empowerment and helps close the gender gap in employment."





